I_data_lower,Q_data_lower,I_data_upper,Q_data_upper
0.627451,0.65882355,0.68235296,0.654902
0.6392157,0.6313726,0.6784314,0.67058825
0.6666667,0.61960787,0.6666667,0.6784314
0.6901961,0.63529414,0.64705884,0.67058825
0.69411767,0.6627451,0.64705884,0.65882355
0.6745098,0.6862745,0.654902,0.6431373
0.64705884,0.68235296,0.6666667,0.6431373
0.6313726,0.65882355,0.6784314,0.65882355
0.6431373,0.6313726,0.6745098,0.6745098
0.6666667,0.62352943,0.65882355,0.6745098
0.6901961,0.63529414,0.6509804,0.6745098
0.69411767,0.6627451,0.64705884,0.65882355
0.6784314,0.6862745,0.654902,0.64705884
0.6509804,0.6862745,0.6666667,0.64705884
0.63529414,0.6666667,0.6745098,0.654902
0.6392157,0.6392157,0.6745098,0.67058825
0.6627451,0.627451,0.6627451,0.6745098
0.6862745,0.63529414,0.654902,0.67058825
0.69411767,0.65882355,0.6509804,0.6666667
0.68235296,0.6862745,0.654902,0.65882355
0.65882355,0.6901961,0.654902,0.6509804
0.6392157,0.6745098,0.6666667,0.654902
0.63529414,0.64705884,0.67058825,0.65882355
0.654902,0.627451,0.67058825,0.6666667
0.6784314,0.6313726,0.6627451,0.67058825
0.69411767,0.654902,0.65882355,0.6745098
0.6901961,0.6784314,0.64705884,0.6666667
0.6627451,0.69411767,0.64705884,0.65882355
0.6392157,0.68235296,0.654902,0.6509804
0.627451,0.654902,0.6666667,0.64705884
0.6431373,0.6313726,0.6745098,0.654902
0.67058825,0.627451,0.6745098,0.6666667
0.69411767,0.6431373,0.6666667,0.68235296
0.69803923,0.6745098,0.64705884,0.6784314
0.6784314,0.7019608,0.6392157,0.6627451
0.6431373,0.69803923,0.6431373,0.64705884
0.62352943,0.67058825,0.65882355,0.6392157
0.627451,0.63529414,0.6745098,0.6431373
0.65882355,0.6156863,0.6862745,0.6666667
0.6901961,0.627451,0.6745098,0.68235296
0.70980394,0.6627451,0.6509804,0.6862745
0.6901961,0.69803923,0.6392157,0.6745098
0.654902,0.70980394,0.6392157,0.6509804
0.61960787,0.6862745,0.6509804,0.63529414
0.6117647,0.64705884,0.6745098,0.6392157
0.6392157,0.6117647,0.6862745,0.654902
0.6784314,0.60784316,0.68235296,0.6784314
0.70980394,0.6392157,0.6627451,0.6862745
0.70980394,0.68235296,0.6431373,0.68235296
0.6745098,0.7137255,0.6313726,0.65882355
0.6313726,0.7058824,0.6431373,0.6431373
0.60784316,0.6666667,0.6627451,0.63529414
0.6156863,0.62352943,0.6784314,0.64705884
0.65882355,0.6,0.68235296,0.6666667
0.7019608,0.6156863,0.67058825,0.68235296
0.72156864,0.65882355,0.654902,0.68235296
0.7019608,0.7019608,0.6392157,0.6666667
0.65882355,0.7176471,0.63529414,0.6509804
0.61960787,0.69411767,0.64705884,0.6392157
0.60784316,0.64705884,0.6666667,0.6431373
0.6313726,0.6117647,0.6745098,0.6509804
0.6745098,0.60784316,0.6745098,0.6627451
0.7058824,0.6313726,0.6666667,0.67058825
0.70980394,0.6745098,0.65882355,0.6784314
0.68235296,0.7058824,0.6431373,0.6666667
0.64705884,0.7058824,0.6431373,0.65882355
0.61960787,0.68235296,0.64705884,0.6509804
0.6156863,0.6431373,0.65882355,0.6431373
0.6392157,0.61960787,0.6627451,0.6431373
0.67058825,0.61960787,0.6784314,0.6509804
0.6901961,0.6392157,0.6784314,0.6666667
0.6901961,0.6627451,0.6745098,0.68235296
0.6784314,0.68235296,0.6509804,0.68235296
0.654902,0.68235296,0.63529414,0.6745098
0.6431373,0.6745098,0.627451,0.6509804
0.63529414,0.65882355,0.6392157,0.627451
0.6392157,0.64705884,0.6627451,0.61960787
0.64705884,0.63529414,0.69411767,0.6313726
0.65882355,0.6313726,0.70980394,0.6627451
0.67058825,0.6392157,0.6901961,0.69411767
0.6784314,0.64705884,0.6627451,0.7137255
0.68235296,0.6627451,0.62352943,0.69803923
0.6745098,0.68235296,0.60784316,0.65882355
0.654902,0.6901961,0.61960787,0.6117647
0.6313726,0.68235296,0.65882355,0.5921569
0.61960787,0.654902,0.7058824,0.6039216
0.62352943,0.62352943,0.73333335,0.6509804
0.6509804,0.60784316,0.72156864,0.70980394
0.6862745,0.6117647,0.6745098,0.7372549
0.70980394,0.6431373,0.61960787,0.7254902
0.7058824,0.68235296,0.58431375,0.6784314
0.6745098,0.7137255,0.59607846,0.6117647
0.627451,0.70980394,0.6392157,0.57254905
0.6,0.6745098,0.7058824,0.58431375
0.6,0.627451,0.7411765,0.627451
0.63529414,0.5921569,0.7411765,0.69411767
0.68235296,0.5921569,0.69411767,0.7411765
0.72156864,0.62352943,0.63529414,0.7411765
0.7254902,0.6745098,0.5921569,0.69411767
0.69411767,0.7137255,0.5882353,0.6392157
0.6431373,0.72156864,0.62352943,0.5921569
0.6039216,0.6901961,0.6784314,0.5882353
0.59607846,0.6431373,0.72156864,0.6156863
0.61960787,0.6039216,0.7294118,0.6666667
0.6666667,0.5921569,0.7019608,0.7058824
0.7058824,0.6117647,0.6627451,0.72156864
0.72156864,0.654902,0.62352943,0.7019608
0.7058824,0.69411767,0.6117647,0.6627451
0.6666667,0.7137255,0.62352943,0.62352943
0.6313726,0.7019608,0.654902,0.6156863
0.6156863,0.6666667,0.68235296,0.62352943
0.62352943,0.63529414,0.69411767,0.64705884
0.64705884,0.6156863,0.6862745,0.67058825
0.6784314,0.6156863,0.6666667,0.68235296
0.69411767,0.63529414,0.6509804,0.6784314
0.69803923,0.65882355,0.6431373,0.6627451
0.6862745,0.6784314,0.6509804,0.6509804
0.6666667,0.68235296,0.6627451,0.64705884
0.6509804,0.6784314,0.6666667,0.6509804
0.6431373,0.6666667,0.67058825,0.654902
0.6431373,0.6509804,0.6666667,0.6627451
0.6509804,0.6392157,0.6627451,0.65882355
0.6627451,0.6313726,0.65882355,0.654902
0.6784314,0.63529414,0.6627451,0.654902
0.6862745,0.6431373,0.6627451,0.6509804
0.6901961,0.654902,0.67058825,0.65882355
0.6862745,0.6666667,0.6666667,0.6666667
0.6745098,0.6784314,0.65882355,0.6666667
0.6627451,0.6784314,0.654902,0.65882355
0.6509804,0.6666667,0.654902,0.6509804
0.6431373,0.6509804,0.65882355,0.6431373
0.6509804,0.63529414,0.6745098,0.6431373
0.6666667,0.627451,0.6784314,0.654902
0.6862745,0.6313726,0.6784314,0.6627451
0.69411767,0.64705884,0.67058825,0.6666667
0.69411767,0.6666667,0.6627451,0.6745098
0.68235296,0.6784314,0.654902,0.6627451
0.6666667,0.68235296,0.654902,0.65882355
0.6509804,0.6745098,0.65882355,0.654902
0.64705884,0.654902,0.6627451,0.6509804
0.6509804,0.6392157,0.6666667,0.6509804
0.6666667,0.63529414,0.6666667,0.654902
0.68235296,0.6392157,0.6627451,0.654902
0.6901961,0.654902,0.6627451,0.654902
0.6901961,0.67058825,0.6627451,0.64705884
0.6784314,0.6784314,0.6745098,0.6509804
0.6627451,0.68235296,0.6784314,0.654902
0.6509804,0.6745098,0.6862745,0.67058825
0.6509804,0.65882355,0.6784314,0.6862745
0.654902,0.64705884,0.6627451,0.69411767
0.6666667,0.64705884,0.63529414,0.6862745
0.6784314,0.6509804,0.61960787,0.6627451
0.68235296,0.6627451,0.62352943,0.6313726
0.68235296,0.6745098,0.6431373,0.6117647
0.67058825,0.6862745,0.6784314,0.6039216
0.654902,0.6862745,0.70980394,0.6156863
0.6431373,0.6745098,0.7294118,0.6509804
0.6392157,0.65882355,0.72156864,0.69411767
0.6509804,0.6431373,0.69411767,0.7254902
0.6666667,0.63529414,0.6509804,0.73333335
0.6862745,0.6392157,0.6117647,0.70980394
0.7019608,0.654902,0.59607846,0.67058825
0.7019608,0.6784314,0.60784316,0.62352943
0.6901961,0.7058824,0.6392157,0.59607846
0.6627451,0.7137255,0.6784314,0.5921569
0.63529414,0.70980394,0.7137255,0.6117647
0.6156863,0.6784314,0.7254902,0.64705884
0.6156863,0.6431373,0.7176471,0.6862745
0.63529414,0.6156863,0.6901961,0.70980394
0.67058825,0.6,0.65882355,0.7176471
0.70980394,0.6117647,0.6313726,0.69411767
0.7294118,0.64705884,0.62352943,0.67058825
0.7294118,0.6901961,0.6313726,0.64705884
0.7019608,0.7294118,0.6509804,0.63529414
0.65882355,0.74509805,0.6666667,0.63529414
0.6117647,0.7254902,0.6784314,0.64705884
0.5882353,0.6862745,0.6784314,0.65882355
0.5882353,0.63529414,0.6745098,0.67058825
0.61960787,0.59607846,0.6666667,0.6666667
0.6627451,0.5803922,0.6627451,0.6666667
0.7137255,0.6,0.6627451,0.6627451
0.7372549,0.6392157,0.6627451,0.65882355
0.7372549,0.6901961,0.67058825,0.6666667
0.70980394,0.73333335,0.6666667,0.67058825
0.6627451,0.7490196,0.6627451,0.6784314
0.61960787,0.7372549,0.654902,0.6784314
0.5882353,0.7019608,0.64705884,0.6666667
0.58431375,0.654902,0.6509804,0.65882355
0.6039216,0.61960787,0.654902,0.6431373
0.6392157,0.6,0.6745098,0.64705884
0.6784314,0.6,0.68235296,0.654902
0.70980394,0.61960787,0.6862745,0.67058825
0.72156864,0.6509804,0.68235296,0.6901961
0.72156864,0.6862745,0.6627451,0.7058824
0.7019608,0.7176471,0.6392157,0.7058824
0.6745098,0.7294118,0.6156863,0.68235296
0.6431373,0.7294118,0.60784316,0.654902
0.61960787,0.7137255,0.61960787,0.61960787
0.60784316,0.6901961,0.6509804,0.6
0.6039216,0.6627451,0.6862745,0.59607846
0.6117647,0.6313726,0.72156864,0.6156863
0.6313726,0.6117647,0.7411765,0.654902
0.6627451,0.6,0.7372549,0.69803923
0.69411767,0.6039216,0.7137255,0.7411765
0.72156864,0.627451,0.6666667,0.75686276
0.73333335,0.6627451,0.6156863,0.74509805
0.7254902,0.7058824,0.5764706,0.7137255
0.69411767,0.73333335,0.56078434,0.65882355
0.654902,0.7490196,0.5803922,0.60784316
0.6117647,0.7372549,0.6156863,0.57254905
0.5803922,0.7058824,0.6666667,0.5568628
0.5647059,0.65882355,0.7176471,0.57254905
0.5764706,0.6117647,0.7529412,0.6156863
0.6117647,0.5764706,0.7647059,0.6784314
0.654902,0.5647059,0.7411765,0.7294118
0.7019608,0.5764706,0.69411767,0.7647059
0.73333335,0.6156863,0.6392157,0.77254903
0.74509805,0.6627451,0.5882353,0.74509805
0.7294118,0.70980394,0.5568628,0.69411767
0.69411767,0.7411765,0.56078434,0.6392157
0.6509804,0.7529412,0.5882353,0.5921569
0.6117647,0.74509805,0.63529414,0.56078434
0.58431375,0.7137255,0.6862745,0.56078434
0.57254905,0.6745098,0.7294118,0.59607846
0.5803922,0.63529414,0.7490196,0.6392157
0.6,0.6039216,0.74509805,0.6901961
0.6313726,0.5882353,0.72156864,0.73333335
0.6666667,0.5882353,0.6745098,0.7490196
0.69803923,0.6,0.6313726,0.7411765
0.7176471,0.627451,0.6,0.70980394
0.72156864,0.654902,0.5921569,0.67058825
0.7137255,0.6862745,0.6,0.6313726
0.69411767,0.7058824,0.627451,0.60784316
0.6745098,0.7176471,0.6627451,0.6
0.64705884,0.7176471,0.6901961,0.6117647
0.62352943,0.7058824,0.70980394,0.6313726
0.6117647,0.68235296,0.7137255,0.6627451
0.6117647,0.65882355,0.7058824,0.6901961
0.61960787,0.6392157,0.6862745,0.70980394
0.6313726,0.62352943,0.65882355,0.70980394
0.6509804,0.61960787,0.6431373,0.70980394
0.67058825,0.62352943,0.627451,0.69411767
0.6784314,0.63529414,0.61960787,0.6784314
0.68235296,0.6509804,0.62352943,0.6666667
0.6784314,0.6666667,0.627451,0.65882355
0.6666667,0.67058825,0.6313726,0.64705884
0.654902,0.6666667,0.6313726,0.6431373
0.6509804,0.6627451,0.6392157,0.63529414
0.6509804,0.6509804,0.64705884,0.627451
0.6627451,0.64705884,0.654902,0.61960787
0.67058825,0.64705884,0.67058825,0.6117647
0.6784314,0.65882355,0.69411767,0.61960787
0.6784314,0.67058825,0.70980394,0.6313726
0.67058825,0.6862745,0.7137255,0.6509804
0.6509804,0.69411767,0.72156864,0.68235296
0.6313726,0.6901961,0.70980394,0.7019608
0.6156863,0.6745098,0.6901961,0.7254902
0.60784316,0.64705884,0.6627451,0.7294118
0.6156863,0.61960787,0.63529414,0.7294118
0.6392157,0.59607846,0.6117647,0.7137255
0.67058825,0.5882353,0.6,0.6862745
0.7058824,0.59607846,0.59607846,0.654902
0.73333335,0.62352943,0.6117647,0.6313726
0.74509805,0.6627451,0.627451,0.6156863
0.7372549,0.7058824,0.6509804,0.6039216
0.7137255,0.7411765,0.6745098,0.60784316
0.6745098,0.7647059,0.69411767,0.627451
0.627451,0.7607843,0.7019608,0.6431373
0.5921569,0.7411765,0.7058824,0.6666667
0.5686275,0.7019608,0.69411767,0.68235296
0.5647059,0.654902,0.6784314,0.69803923
0.58431375,0.6117647,0.6627451,0.7058824
0.6156863,0.5882353,0.6431373,0.69803923
0.654902,0.5803922,0.627451,0.6862745
0.6901961,0.5921569,0.62352943,0.6745098
0.7176471,0.6156863,0.61960787,0.654902
0.7254902,0.64705884,0.627451,0.6392157
0.7176471,0.6784314,0.63529414,0.627451
0.69803923,0.69803923,0.6509804,0.61960787
0.6745098,0.7058824,0.6666667,0.61960787
0.6509804,0.7019608,0.68235296,0.627451
0.63529414,0.6862745,0.69411767,0.6392157
0.6313726,0.6627451,0.7019608,0.6509804
0.63529414,0.64705884,0.7019608,0.6666667
0.6509804,0.63529414,0.69411767,0.6784314
0.6666667,0.6313726,0.6862745,0.69411767
0.6784314,0.6392157,0.67058825,0.7019608
0.6862745,0.6509804,0.65882355,0.7058824
0.6862745,0.6666667,0.64705884,0.7019608
0.6784314,0.6784314,0.6313726,0.6901961
0.67058825,0.6862745,0.62352943,0.6784314
0.65882355,0.6901961,0.62352943,0.6666667
0.64705884,0.6862745,0.61960787,0.6509804
0.6392157,0.6784314,0.627451,0.6392157
0.63529414,0.67058825,0.6431373,0.627451
0.6313726,0.6627451,0.65882355,0.62352943
0.6313726,0.65882355,0.6745098,0.62352943
0.63529414,0.654902,0.6862745,0.6313726
0.6313726,0.6509804,0.7019608,0.64705884
0.63529414,0.6431373,0.7058824,0.6666667
0.63529414,0.6313726,0.7058824,0.68235296
0.6431373,0.62352943,0.69803923,0.7019608
0.6509804,0.6117647,0.68235296,0.7176471
0.67058825,0.60784316,0.6627451,0.7254902
0.6901961,0.6117647,0.63529414,0.72156864
0.70980394,0.627451,0.6156863,0.70980394
0.72156864,0.6509804,0.6039216,0.69411767
0.72156864,0.6784314,0.59607846,0.67058825
0.7137255,0.70980394,0.59607846,0.6431373
0.6901961,0.73333335,0.60784316,0.61960787
0.65882355,0.7529412,0.627451,0.60784316
0.62352943,0.75686276,0.6509804,0.6039216
0.5882353,0.7411765,0.6784314,0.6117647
0.5568628,0.70980394,0.69411767,0.627451
0.5411765,0.6666667,0.7019608,0.64705884
0.54901963,0.61960787,0.69803923,0.6745098
0.5647059,0.5803922,0.6862745,0.69411767
0.6,0.54901963,0.6666667,0.70980394
0.6431373,0.5372549,0.6392157,0.70980394
0.6862745,0.54509807,0.61960787,0.69803923
0.7254902,0.5686275,0.6039216,0.67058825
0.74509805,0.6039216,0.6,0.64705884
0.7529412,0.64705884,0.60784316,0.62352943
0.7411765,0.6862745,0.61960787,0.6
0.7137255,0.72156864,0.6509804,0.58431375
0.6745098,0.73333335,0.6745098,0.5803922
0.63529414,0.7294118,0.7058824,0.5921569
0.60784316,0.7058824,0.7294118,0.6117647
0.59607846,0.67058825,0.7372549,0.6313726
0.6,0.6313726,0.7411765,0.6666667
0.62352943,0.60784316,0.73333335,0.6901961
0.65882355,0.5921569,0.72156864,0.70980394
0.69803923,0.59607846,0.7019608,0.72156864
0.7294118,0.6156863,0.6784314,0.7254902
0.7529412,0.654902,0.6627451,0.72156864
0.75686276,0.7019608,0.6509804,0.7137255
0.74509805,0.7490196,0.6431373,0.7019608
0.70980394,0.7882353,0.6431373,0.69411767
0.65882355,0.8156863,0.64705884,0.6862745
0.6039216,0.8235294,0.6509804,0.68235296
0.54509807,0.8039216,0.6627451,0.6862745
0.5019608,0.7647059,0.6627451,0.6901961
0.4745098,0.7058824,0.6627451,0.7019608
0.47058824,0.6392157,0.65882355,0.7137255
0.49019608,0.5764706,0.64705884,0.7254902
0.5294118,0.5254902,0.63529414,0.73333335
0.58431375,0.49411765,0.6156863,0.7372549
0.6431373,0.4862745,0.59607846,0.73333335
0.7019608,0.49803922,0.5764706,0.7176471
0.7490196,0.53333336,0.5647059,0.69803923
0.7764706,0.5803922,0.5529412,0.67058825
0.78431374,0.6392157,0.5529412,0.64705884
0.77254903,0.69411767,0.5568628,0.61960787
0.74509805,0.7411765,0.57254905,0.59607846
0.7019608,0.76862746,0.5882353,0.57254905
0.6509804,0.78039217,0.6117647,0.5568628
0.6039216,0.7647059,0.63529414,0.5529412
0.5686275,0.7411765,0.6627451,0.5529412
0.5529412,0.7019608,0.68235296,0.5529412
0.54901963,0.65882355,0.70980394,0.5686275
0.5647059,0.62352943,0.7294118,0.58431375
0.5882353,0.59607846,0.74509805,0.6039216
0.61960787,0.5882353,0.7529412,0.627451
0.6509804,0.5882353,0.75686276,0.65882355
0.6784314,0.6039216,0.7529412,0.68235296
0.69411767,0.6313726,0.7411765,0.70980394
0.7019608,0.6627451,0.72156864,0.72156864
0.69411767,0.69411767,0.7058824,0.7372549
0.6784314,0.7254902,0.68235296,0.7411765
0.64705884,0.74509805,0.6627451,0.7411765
0.6117647,0.7529412,0.6431373,0.73333335
0.57254905,0.74509805,0.6313726,0.7294118
0.5411765,0.7254902,0.61960787,0.7137255
0.5176471,0.6901961,0.6117647,0.69411767
0.5058824,0.64705884,0.60784316,0.6745098
0.5058824,0.6,0.6156863,0.65882355
0.52156866,0.5529412,0.627451,0.6431373
0.5529412,0.50980395,0.6431373,0.627451
0.59607846,0.48235294,0.6666667,0.627451
0.64705884,0.4627451,0.6862745,0.627451
0.7019608,0.45882353,0.70980394,0.6431373
0.7529412,0.47058824,0.72156864,0.65882355
0.8039216,0.49803922,0.73333335,0.68235296
0.84313726,0.5372549,0.73333335,0.70980394
0.87058824,0.5882353,0.7294118,0.7411765
0.8862745,0.6431373,0.7176471,0.76862746
0.8901961,0.7019608,0.69411767,0.7921569
0.8745098,0.7607843,0.6627451,0.80784315
0.84705883,0.80784315,0.627451,0.8117647
0.8117647,0.8509804,0.59607846,0.8117647
0.76862746,0.8784314,0.56078434,0.79607844
0.7254902,0.89411765,0.53333336,0.7764706
0.6784314,0.9019608,0.5137255,0.74509805
0.6392157,0.8980392,0.5058824,0.7137255
0.6,0.88235295,0.5019608,0.6745098
0.5686275,0.8627451,0.50980395,0.6431373
0.54509807,0.8352941,0.52156866,0.60784316
0.5294118,0.80784315,0.5411765,0.5803922
0.5176471,0.78039217,0.5647059,0.56078434
0.5137255,0.7490196,0.5921569,0.5529412
0.5176471,0.72156864,0.6156863,0.5411765
0.5254902,0.69411767,0.6431373,0.54509807
0.5372549,0.6745098,0.6666667,0.54901963
0.5529412,0.65882355,0.6862745,0.5568628
0.5686275,0.64705884,0.7019608,0.5647059
0.58431375,0.6392157,0.7176471,0.5764706
0.6,0.6392157,0.7294118,0.5921569
0.60784316,0.6392157,0.7372549,0.6117647
0.61960787,0.6431373,0.74509805,0.6313726
0.62352943,0.64705884,0.74509805,0.6509804
0.627451,0.6509804,0.74509805,0.6745098
0.62352943,0.6509804,0.73333335,0.6901961
0.62352943,0.6509804,0.7254902,0.70980394
0.61960787,0.6509804,0.70980394,0.72156864
0.61960787,0.6431373,0.69411767,0.73333335
0.61960787,0.6313726,0.6745098,0.7372549
0.62352943,0.62352943,0.654902,0.7411765
0.6313726,0.6117647,0.63529414,0.7372549
0.64705884,0.6039216,0.6156863,0.7294118
0.6627451,0.59607846,0.59607846,0.7137255
0.68235296,0.59607846,0.5882353,0.7019608
0.7019608,0.6,0.57254905,0.6745098
0.72156864,0.60784316,0.57254905,0.654902
0.7372549,0.62352943,0.5803922,0.627451
0.7490196,0.6431373,0.5882353,0.6039216
0.75686276,0.67058825,0.6,0.5764706
0.75686276,0.69411767,0.62352943,0.56078434
0.7490196,0.72156864,0.6509804,0.54509807
0.7372549,0.74509805,0.6862745,0.54509807
0.7176471,0.7647059,0.7137255,0.54509807
0.69411767,0.7764706,0.7490196,0.5647059
0.67058825,0.78431374,0.77254903,0.5803922
0.6431373,0.78039217,0.7921569,0.6156863
0.61960787,0.7764706,0.80784315,0.6509804
0.6,0.7607843,0.80784315,0.6862745
0.5803922,0.74509805,0.8,0.7254902
0.5686275,0.72156864,0.7882353,0.76862746
0.5647059,0.69803923,0.7607843,0.79607844
0.56078434,0.6745098,0.7294118,0.8235294
0.56078434,0.6509804,0.69411767,0.84313726
0.5647059,0.6313726,0.6509804,0.8509804
0.57254905,0.6117647,0.60784316,0.84313726
0.5803922,0.59607846,0.5686275,0.83137256
0.5921569,0.5803922,0.5372549,0.80784315
0.6,0.5686275,0.5058824,0.7764706
0.6117647,0.5568628,0.4862745,0.7372549
0.61960787,0.54901963,0.47843137,0.69803923
0.6313726,0.5411765,0.47058824,0.6509804
0.6392157,0.53333336,0.4745098,0.6117647
0.64705884,0.5254902,0.4862745,0.5686275
0.65882355,0.52156866,0.5058824,0.5372549
0.6666667,0.50980395,0.53333336,0.5058824
0.6784314,0.5058824,0.5568628,0.47843137
0.6862745,0.5019608,0.5921569,0.4627451
0.69411767,0.49803922,0.62352943,0.4509804
0.70980394,0.49411765,0.6627451,0.44705883
0.7176471,0.49411765,0.6901961,0.44705883
0.7294118,0.49411765,0.7254902,0.45490196
0.7411765,0.49803922,0.7529412,0.4627451
0.7490196,0.5019608,0.78039217,0.47843137
0.7607843,0.5058824,0.80784315,0.5019608
0.76862746,0.5137255,0.827451,0.5254902
0.7764706,0.52156866,0.8509804,0.5568628
0.78431374,0.5294118,0.85882354,0.5882353
0.7921569,0.5411765,0.87058824,0.62352943
0.79607844,0.5529412,0.8745098,0.65882355
0.8,0.5647059,0.8666667,0.69411767
0.8039216,0.5764706,0.85882354,0.7294118
0.80784315,0.5921569,0.84313726,0.7647059
0.80784315,0.60784316,0.8235294,0.79607844
0.80784315,0.61960787,0.8,0.8235294
0.80784315,0.63529414,0.76862746,0.84313726
0.8039216,0.6509804,0.7372549,0.85490197
0.8,0.6627451,0.70980394,0.8666667
0.79607844,0.6784314,0.6745098,0.87058824
0.7921569,0.6901961,0.6392157,0.8627451
0.78431374,0.7019608,0.60784316,0.85490197
0.7764706,0.7137255,0.5803922,0.8352941
0.76862746,0.72156864,0.5568628,0.8156863
0.7647059,0.7294118,0.5372549,0.7882353
0.75686276,0.73333335,0.5254902,0.75686276
0.7529412,0.7411765,0.5176471,0.7254902
0.7490196,0.74509805,0.50980395,0.6862745
0.74509805,0.7529412,0.5176471,0.654902
0.7411765,0.75686276,0.5254902,0.61960787
0.73333335,0.7607843,0.5411765,0.58431375
0.7294118,0.7647059,0.56078434,0.5568628
0.72156864,0.77254903,0.5882353,0.5372549
0.7137255,0.7764706,0.6156863,0.5137255
0.70980394,0.78039217,0.64705884,0.5019608
0.69803923,0.78431374,0.68235296,0.49019608
0.6901961,0.7882353,0.7176471,0.4862745
0.6784314,0.7882353,0.7529412,0.4862745
0.6666667,0.7882353,0.78431374,0.49411765
0.654902,0.7882353,0.8156863,0.50980395
0.6431373,0.7882353,0.84313726,0.5254902
0.6313726,0.78431374,0.8666667,0.5529412
0.61960787,0.7764706,0.8901961,0.5882353
0.60784316,0.76862746,0.9019608,0.62352943
0.6,0.7647059,0.90588236,0.65882355
0.5921569,0.7529412,0.9098039,0.7058824
0.58431375,0.74509805,0.9019608,0.7411765
0.5764706,0.73333335,0.88235295,0.7764706
0.5764706,0.72156864,0.8627451,0.8156863
0.57254905,0.7058824,0.8352941,0.84313726
0.57254905,0.69411767,0.8,0.8627451
