I_data_lower,Q_data_lower,I_data_upper,Q_data_upper
0.6627451,0.65882355,0.6509804,0.654902
0.6627451,0.65882355,0.654902,0.6509804
0.65882355,0.65882355,0.65882355,0.654902
0.65882355,0.654902,0.6627451,0.6627451
0.65882355,0.654902,0.6627451,0.6627451
0.6627451,0.654902,0.65882355,0.65882355
0.6627451,0.65882355,0.6627451,0.6627451
0.65882355,0.65882355,0.65882355,0.6627451
0.65882355,0.65882355,0.65882355,0.6666667
0.65882355,0.65882355,0.65882355,0.6666667
0.6627451,0.65882355,0.654902,0.6666667
0.65882355,0.65882355,0.654902,0.6666667
0.65882355,0.65882355,0.6509804,0.65882355
0.65882355,0.65882355,0.65882355,0.6627451
0.65882355,0.654902,0.65882355,0.65882355
0.65882355,0.654902,0.654902,0.6627451
0.6627451,0.65882355,0.654902,0.6627451
0.65882355,0.65882355,0.65882355,0.6666667
0.65882355,0.65882355,0.654902,0.6666667
0.65882355,0.65882355,0.654902,0.6666667
0.6627451,0.654902,0.6509804,0.6627451
0.6627451,0.65882355,0.6509804,0.6666667
0.6627451,0.65882355,0.64705884,0.65882355
0.65882355,0.65882355,0.6509804,0.65882355
0.65882355,0.65882355,0.6509804,0.654902
0.65882355,0.654902,0.654902,0.6509804
0.6627451,0.654902,0.6627451,0.654902
0.6627451,0.65882355,0.6666667,0.65882355
0.65882355,0.6627451,0.6666667,0.6627451
0.65882355,0.65882355,0.6627451,0.6666667
0.65882355,0.65882355,0.654902,0.67058825
0.65882355,0.65882355,0.654902,0.6745098
0.6627451,0.65882355,0.64705884,0.67058825
0.65882355,0.65882355,0.64705884,0.6666667
0.65882355,0.65882355,0.64705884,0.6627451
0.65882355,0.65882355,0.64705884,0.6627451
0.65882355,0.654902,0.64705884,0.65882355
0.65882355,0.654902,0.6509804,0.654902
0.6627451,0.65882355,0.654902,0.65882355
0.65882355,0.65882355,0.654902,0.65882355
0.65882355,0.65882355,0.65882355,0.6627451
0.65882355,0.654902,0.654902,0.65882355
0.6627451,0.654902,0.654902,0.65882355
0.6627451,0.65882355,0.65882355,0.6627451
0.6627451,0.65882355,0.654902,0.65882355
0.65882355,0.6627451,0.6627451,0.6627451
0.65882355,0.65882355,0.6627451,0.6627451
0.65882355,0.65882355,0.65882355,0.65882355
0.65882355,0.65882355,0.6627451,0.6666667
0.65882355,0.65882355,0.6627451,0.67058825
0.65882355,0.65882355,0.65882355,0.67058825
0.65882355,0.65882355,0.6509804,0.6666667
0.65882355,0.654902,0.6509804,0.6666667
0.6627451,0.65882355,0.6509804,0.6627451
0.65882355,0.65882355,0.6509804,0.65882355
0.65882355,0.65882355,0.6509804,0.65882355
0.65882355,0.65882355,0.6509804,0.65882355
0.65882355,0.65882355,0.6509804,0.65882355
0.65882355,0.65882355,0.6509804,0.654902
0.65882355,0.65882355,0.6509804,0.6509804
0.65882355,0.65882355,0.65882355,0.654902
0.65882355,0.65882355,0.65882355,0.6509804
0.65882355,0.654902,0.6666667,0.65882355
0.6627451,0.654902,0.6666667,0.65882355
0.6627451,0.65882355,0.6627451,0.65882355
0.65882355,0.65882355,0.6627451,0.6627451
0.65882355,0.65882355,0.6627451,0.6627451
0.65882355,0.65882355,0.6627451,0.6666667
0.65882355,0.65882355,0.654902,0.6666667
0.65882355,0.65882355,0.654902,0.6666667
0.65882355,0.65882355,0.654902,0.65882355
0.65882355,0.65882355,0.654902,0.654902
0.65882355,0.654902,0.6627451,0.6509804
0.65882355,0.654902,0.6666667,0.6509804
0.6627451,0.654902,0.67058825,0.654902
0.6627451,0.65882355,0.6745098,0.6666667
0.6627451,0.65882355,0.6627451,0.67058825
0.65882355,0.6627451,0.6627451,0.6745098
0.654902,0.654902,0.6509804,0.6666667
0.65882355,0.654902,0.6509804,0.6627451
0.65882355,0.654902,0.6509804,0.6627451
0.6627451,0.65882355,0.6509804,0.65882355
0.6627451,0.65882355,0.6509804,0.6509804
0.65882355,0.65882355,0.65882355,0.6509804
0.654902,0.65882355,0.6627451,0.6509804
0.65882355,0.654902,0.6666667,0.65882355
0.65882355,0.654902,0.6627451,0.6627451
0.65882355,0.654902,0.6627451,0.6666667
0.65882355,0.65882355,0.6509804,0.65882355
0.65882355,0.65882355,0.6509804,0.654902
0.65882355,0.65882355,0.654902,0.654902
0.65882355,0.654902,0.65882355,0.6509804
0.6627451,0.65882355,0.6627451,0.6509804
0.65882355,0.65882355,0.6627451,0.654902
0.65882355,0.65882355,0.6627451,0.654902
0.65882355,0.65882355,0.6666667,0.6627451
0.65882355,0.654902,0.6627451,0.6627451
0.65882355,0.654902,0.6666667,0.6666667
0.65882355,0.65882355,0.6627451,0.6666667
0.65882355,0.65882355,0.654902,0.6627451
0.65882355,0.65882355,0.654902,0.6627451
0.65882355,0.65882355,0.65882355,0.65882355
0.65882355,0.654902,0.6627451,0.654902
0.65882355,0.654902,0.6627451,0.65882355
0.65882355,0.65882355,0.6666667,0.6666667
0.65882355,0.65882355,0.65882355,0.67058825
0.65882355,0.65882355,0.6509804,0.6666667
0.65882355,0.65882355,0.6509804,0.6666667
0.65882355,0.654902,0.64705884,0.65882355
0.65882355,0.654902,0.64705884,0.654902
0.65882355,0.654902,0.6509804,0.6509804
0.6627451,0.654902,0.654902,0.6509804
0.65882355,0.65882355,0.654902,0.6431373
0.6627451,0.65882355,0.6627451,0.6431373
0.65882355,0.65882355,0.6666667,0.64705884
0.6627451,0.65882355,0.6745098,0.6509804
0.65882355,0.65882355,0.67058825,0.65882355
0.65882355,0.65882355,0.6745098,0.6666667
0.65882355,0.65882355,0.6666667,0.6666667
0.65882355,0.654902,0.65882355,0.6666667
0.65882355,0.654902,0.654902,0.6627451
0.65882355,0.654902,0.65882355,0.65882355
0.6627451,0.65882355,0.65882355,0.65882355
0.65882355,0.65882355,0.6627451,0.6627451
0.65882355,0.65882355,0.6627451,0.6627451
0.65882355,0.654902,0.654902,0.6627451
0.6627451,0.654902,0.65882355,0.6627451
0.6627451,0.65882355,0.65882355,0.654902
0.6627451,0.65882355,0.6627451,0.6627451
0.65882355,0.65882355,0.6627451,0.6627451
0.65882355,0.65882355,0.6627451,0.6666667
0.65882355,0.65882355,0.654902,0.6627451
0.65882355,0.65882355,0.6509804,0.654902
0.65882355,0.65882355,0.654902,0.6509804
0.65882355,0.65882355,0.6666667,0.654902
0.65882355,0.65882355,0.6627451,0.654902
0.65882355,0.654902,0.6627451,0.6627451
0.65882355,0.654902,0.65882355,0.6627451
0.6627451,0.65882355,0.654902,0.6509804
0.6627451,0.65882355,0.65882355,0.6509804
0.65882355,0.654902,0.6666667,0.654902
0.65882355,0.654902,0.6666667,0.65882355
0.6627451,0.65882355,0.6627451,0.65882355
0.6627451,0.65882355,0.6666667,0.65882355
0.65882355,0.65882355,0.6666667,0.654902
0.65882355,0.65882355,0.6666667,0.654902
0.65882355,0.65882355,0.6666667,0.65882355
0.65882355,0.65882355,0.6627451,0.6627451
0.65882355,0.654902,0.65882355,0.6627451
0.65882355,0.65882355,0.654902,0.65882355
0.65882355,0.65882355,0.65882355,0.654902
0.65882355,0.654902,0.6627451,0.654902
0.6627451,0.654902,0.6627451,0.654902
0.6627451,0.65882355,0.65882355,0.65882355
0.6627451,0.65882355,0.6627451,0.65882355
0.65882355,0.6627451,0.6627451,0.65882355
0.654902,0.65882355,0.6627451,0.654902
0.65882355,0.65882355,0.6627451,0.65882355
0.65882355,0.654902,0.6627451,0.6627451
0.6627451,0.65882355,0.654902,0.654902
0.6627451,0.6627451,0.65882355,0.6509804
0.65882355,0.6627451,0.65882355,0.64705884
0.654902,0.65882355,0.6666667,0.6509804
0.654902,0.654902,0.6666667,0.654902
0.65882355,0.654902,0.6666667,0.65882355
0.6627451,0.654902,0.65882355,0.65882355
0.6627451,0.65882355,0.654902,0.6509804
0.65882355,0.65882355,0.65882355,0.6509804
0.65882355,0.65882355,0.6627451,0.6431373
0.65882355,0.65882355,0.67058825,0.64705884
0.65882355,0.65882355,0.67058825,0.6509804
0.65882355,0.65882355,0.6666667,0.65882355
0.65882355,0.65882355,0.6666667,0.6627451
0.65882355,0.65882355,0.6666667,0.6627451
0.65882355,0.65882355,0.65882355,0.65882355
0.65882355,0.654902,0.65882355,0.654902
0.65882355,0.65882355,0.65882355,0.6509804
0.65882355,0.65882355,0.65882355,0.64705884
0.65882355,0.65882355,0.6627451,0.64705884
0.654902,0.65882355,0.67058825,0.6509804
0.654902,0.654902,0.67058825,0.6509804
0.654902,0.654902,0.67058825,0.654902
0.65882355,0.654902,0.6666667,0.65882355
0.65882355,0.65882355,0.6627451,0.65882355
0.65882355,0.65882355,0.6627451,0.65882355
0.654902,0.65882355,0.6627451,0.654902
0.654902,0.65882355,0.6666667,0.6509804
0.654902,0.65882355,0.6666667,0.64705884
0.65882355,0.654902,0.6745098,0.654902
0.65882355,0.65882355,0.6745098,0.6627451
0.65882355,0.65882355,0.6666667,0.6627451
0.65882355,0.65882355,0.6627451,0.6627451
0.65882355,0.65882355,0.65882355,0.65882355
0.65882355,0.65882355,0.65882355,0.654902
0.65882355,0.65882355,0.6627451,0.64705884
0.65882355,0.654902,0.6745098,0.654902
0.65882355,0.654902,0.6745098,0.65882355
0.6627451,0.654902,0.67058825,0.65882355
0.65882355,0.65882355,0.6666667,0.65882355
0.6627451,0.65882355,0.6666667,0.6627451
0.65882355,0.65882355,0.6627451,0.6627451
0.6627451,0.65882355,0.65882355,0.6627451
0.65882355,0.6627451,0.654902,0.65882355
0.65882355,0.6627451,0.65882355,0.6509804
0.654902,0.6627451,0.6666667,0.64705884
0.654902,0.65882355,0.6745098,0.64705884
0.65882355,0.654902,0.6784314,0.6627451
0.65882355,0.6509804,0.6745098,0.6666667
0.6627451,0.654902,0.6666667,0.6745098
0.6627451,0.65882355,0.65882355,0.6666667
0.65882355,0.65882355,0.654902,0.65882355
0.65882355,0.65882355,0.65882355,0.6509804
0.65882355,0.65882355,0.6666667,0.654902
0.65882355,0.654902,0.6627451,0.654902
0.65882355,0.654902,0.6627451,0.654902
0.6627451,0.654902,0.6627451,0.65882355
0.6627451,0.654902,0.6666667,0.65882355
0.6627451,0.65882355,0.6666667,0.6666667
0.6627451,0.6627451,0.65882355,0.6666667
0.65882355,0.6627451,0.654902,0.6627451
0.65882355,0.6627451,0.654902,0.654902
0.65882355,0.65882355,0.65882355,0.6509804
0.654902,0.65882355,0.6627451,0.64705884
0.654902,0.65882355,0.6745098,0.654902
0.65882355,0.654902,0.6745098,0.65882355
0.65882355,0.654902,0.67058825,0.6666667
0.6627451,0.654902,0.6627451,0.6627451
0.6627451,0.654902,0.6627451,0.6627451
0.6627451,0.65882355,0.6627451,0.6627451
0.65882355,0.6627451,0.6627451,0.65882355
0.65882355,0.6627451,0.6666667,0.65882355
0.654902,0.65882355,0.6666667,0.65882355
0.654902,0.654902,0.6666667,0.65882355
0.65882355,0.654902,0.6666667,0.6627451
0.6627451,0.654902,0.6627451,0.6666667
0.6627451,0.654902,0.65882355,0.6627451
0.6627451,0.65882355,0.65882355,0.65882355
0.6627451,0.6627451,0.6627451,0.654902
0.65882355,0.6627451,0.67058825,0.654902
0.65882355,0.6627451,0.6745098,0.6627451
0.654902,0.6627451,0.6666667,0.6666667
0.654902,0.65882355,0.65882355,0.6627451
0.654902,0.65882355,0.65882355,0.6627451
0.654902,0.65882355,0.6627451,0.654902
0.654902,0.654902,0.6666667,0.6509804
0.654902,0.654902,0.6666667,0.654902
0.65882355,0.654902,0.67058825,0.6627451
0.65882355,0.654902,0.6627451,0.65882355
0.6627451,0.654902,0.65882355,0.654902
0.6627451,0.65882355,0.6627451,0.6509804
0.65882355,0.654902,0.67058825,0.654902
0.6627451,0.65882355,0.6745098,0.6666667
0.65882355,0.65882355,0.6666667,0.67058825
0.65882355,0.65882355,0.65882355,0.6627451
0.65882355,0.654902,0.65882355,0.654902
0.65882355,0.654902,0.6666667,0.6509804
0.65882355,0.654902,0.6745098,0.654902
0.65882355,0.654902,0.6745098,0.65882355
0.6627451,0.654902,0.6666667,0.6666667
0.6627451,0.65882355,0.6627451,0.6666667
0.6627451,0.6627451,0.65882355,0.6627451
0.65882355,0.6627451,0.65882355,0.6509804
0.654902,0.6627451,0.67058825,0.654902
0.654902,0.65882355,0.67058825,0.65882355
0.654902,0.654902,0.67058825,0.6627451
0.65882355,0.6509804,0.6627451,0.6627451
0.6627451,0.654902,0.6627451,0.65882355
0.6627451,0.654902,0.6627451,0.654902
0.6627451,0.65882355,0.67058825,0.6627451
0.6627451,0.654902,0.67058825,0.6666667
0.6627451,0.654902,0.6666667,0.6666667
0.6627451,0.65882355,0.65882355,0.6627451
0.65882355,0.65882355,0.6627451,0.6627451
0.65882355,0.65882355,0.6627451,0.65882355
0.654902,0.65882355,0.6745098,0.6627451
0.654902,0.6509804,0.67058825,0.6666667
0.65882355,0.6509804,0.6627451,0.67058825
0.6627451,0.6509804,0.65882355,0.6666667
0.6666667,0.65882355,0.654902,0.65882355
0.6627451,0.6627451,0.6627451,0.6509804
0.65882355,0.65882355,0.67058825,0.654902
0.65882355,0.654902,0.6784314,0.6666667
0.6627451,0.654902,0.67058825,0.6745098
0.6627451,0.65882355,0.6627451,0.6784314
0.6627451,0.6627451,0.654902,0.6745098
0.65882355,0.6627451,0.6509804,0.6627451
0.654902,0.65882355,0.654902,0.6509804
0.654902,0.654902,0.6627451,0.6509804
0.65882355,0.6509804,0.67058825,0.65882355
0.6627451,0.654902,0.67058825,0.6666667
0.6627451,0.65882355,0.6666667,0.6745098
0.6627451,0.65882355,0.65882355,0.6666667
0.65882355,0.65882355,0.65882355,0.6666667
0.65882355,0.654902,0.6627451,0.6666667
0.6627451,0.65882355,0.6627451,0.6666667
0.6627451,0.65882355,0.6627451,0.67058825
0.65882355,0.6627451,0.654902,0.6666667
0.654902,0.65882355,0.654902,0.6627451
0.654902,0.654902,0.654902,0.65882355
0.65882355,0.6509804,0.6627451,0.65882355
0.6627451,0.6509804,0.6627451,0.6627451
0.6666667,0.654902,0.6627451,0.6666667
0.6627451,0.6627451,0.65882355,0.6666667
0.65882355,0.6627451,0.654902,0.6666667
0.654902,0.65882355,0.65882355,0.6627451
0.65882355,0.654902,0.6627451,0.65882355
0.6627451,0.654902,0.6666667,0.6627451
0.65882355,0.65882355,0.6666667,0.6666667
0.65882355,0.65882355,0.6627451,0.67058825
0.65882355,0.65882355,0.654902,0.67058825
0.65882355,0.654902,0.6509804,0.6627451
0.65882355,0.654902,0.654902,0.6627451
0.6627451,0.654902,0.65882355,0.654902
0.6627451,0.654902,0.6666667,0.65882355
0.6627451,0.654902,0.6666667,0.6627451
0.6627451,0.654902,0.6627451,0.6666667
0.6627451,0.65882355,0.65882355,0.67058825
0.6627451,0.65882355,0.654902,0.67058825
0.6627451,0.6627451,0.6509804,0.6666667
0.65882355,0.6627451,0.6509804,0.65882355
0.654902,0.65882355,0.65882355,0.654902
0.654902,0.654902,0.6627451,0.654902
0.65882355,0.6509804,0.6666667,0.65882355
0.6627451,0.6509804,0.6666667,0.6666667
0.6666667,0.65882355,0.6627451,0.6666667
0.6627451,0.6627451,0.654902,0.6666667
0.65882355,0.6627451,0.654902,0.6666667
0.65882355,0.65882355,0.654902,0.65882355
0.65882355,0.654902,0.65882355,0.654902
0.65882355,0.654902,0.6627451,0.654902
0.6627451,0.654902,0.6666667,0.6627451
0.6627451,0.65882355,0.6627451,0.6627451
0.65882355,0.65882355,0.6627451,0.6666667
0.65882355,0.65882355,0.65882355,0.6666667
0.65882355,0.654902,0.654902,0.6627451
0.65882355,0.654902,0.65882355,0.6627451
0.6627451,0.654902,0.6627451,0.6627451
0.6627451,0.654902,0.6627451,0.6627451
0.6627451,0.65882355,0.6666667,0.6666667
0.6627451,0.654902,0.6666667,0.6666667
0.6627451,0.65882355,0.6627451,0.6666667
0.6627451,0.65882355,0.6627451,0.6666667
0.6627451,0.6627451,0.65882355,0.6666667
0.65882355,0.65882355,0.654902,0.6627451
0.65882355,0.65882355,0.6509804,0.65882355
0.65882355,0.654902,0.654902,0.65882355
0.6627451,0.654902,0.6627451,0.6509804
0.6627451,0.65882355,0.6666667,0.6509804
0.6627451,0.6627451,0.6745098,0.65882355
0.65882355,0.6627451,0.67058825,0.67058825
0.654902,0.65882355,0.6627451,0.6784314
0.654902,0.654902,0.6509804,0.6745098
0.65882355,0.6509804,0.6431373,0.65882355
0.6627451,0.654902,0.6509804,0.64705884
0.6627451,0.65882355,0.6666667,0.6392157
0.65882355,0.6627451,0.68235296,0.6509804
0.654902,0.6627451,0.6862745,0.67058825
0.654902,0.654902,0.67058825,0.6862745
0.654902,0.6509804,0.6509804,0.6784314
0.6627451,0.6509804,0.6392157,0.6627451
0.6627451,0.654902,0.64705884,0.6431373
0.6627451,0.6627451,0.67058825,0.6392157
0.654902,0.6627451,0.6862745,0.6509804
0.654902,0.65882355,0.69411767,0.6784314
0.654902,0.6509804,0.6745098,0.69803923
0.65882355,0.6509804,0.64705884,0.69411767
0.6627451,0.6509804,0.6313726,0.6745098
0.6627451,0.654902,0.63529414,0.6431373
0.6627451,0.65882355,0.65882355,0.6313726
0.65882355,0.654902,0.68235296,0.64705884
0.65882355,0.6509804,0.6862745,0.6627451
0.6627451,0.6509804,0.6784314,0.6862745
0.6666667,0.6509804,0.654902,0.6862745
0.6666667,0.65882355,0.64705884,0.6784314
0.6627451,0.6627451,0.64705884,0.654902
0.65882355,0.6627451,0.65882355,0.6431373
0.654902,0.65882355,0.6745098,0.6509804
0.654902,0.6509804,0.68235296,0.6666667
0.65882355,0.6509804,0.6745098,0.6784314
0.6627451,0.6509804,0.65882355,0.68235296
0.6666667,0.654902,0.6509804,0.6784314
0.6627451,0.65882355,0.6431373,0.6627451
0.65882355,0.65882355,0.6509804,0.654902
0.65882355,0.654902,0.6627451,0.654902
0.6627451,0.6509804,0.6745098,0.6627451
0.6666667,0.6509804,0.6745098,0.67058825
0.6666667,0.654902,0.6666667,0.6745098
0.6666667,0.6627451,0.65882355,0.6784314
0.6627451,0.6666667,0.654902,0.6745098
0.65882355,0.6666667,0.6509804,0.6666667
0.654902,0.6627451,0.654902,0.65882355
0.654902,0.654902,0.6666667,0.6627451
0.65882355,0.654902,0.67058825,0.6666667
0.6627451,0.654902,0.6666667,0.67058825
0.6666667,0.65882355,0.6666667,0.6784314
0.6627451,0.6627451,0.65882355,0.6784314
0.654902,0.6627451,0.654902,0.6745098
0.6509804,0.65882355,0.6509804,0.6627451
0.654902,0.6509804,0.6627451,0.6627451
0.65882355,0.64705884,0.6666667,0.6627451
0.6666667,0.6509804,0.67058825,0.67058825
0.6666667,0.654902,0.6666667,0.6784314
0.6666667,0.6627451,0.65882355,0.6784314
0.6627451,0.6666667,0.654902,0.6784314
0.654902,0.6627451,0.654902,0.67058825
0.654902,0.65882355,0.654902,0.6627451
0.65882355,0.654902,0.6627451,0.6666667
0.6627451,0.654902,0.6666667,0.6666667
0.6666667,0.6627451,0.6666667,0.6745098
0.6627451,0.6666667,0.65882355,0.6784314
0.654902,0.6666667,0.654902,0.6745098
0.6509804,0.65882355,0.65882355,0.67058825
0.6509804,0.6509804,0.65882355,0.6666667
0.654902,0.64705884,0.6666667,0.67058825
0.6627451,0.64705884,0.6627451,0.67058825
0.6666667,0.654902,0.6627451,0.6784314
0.6666667,0.65882355,0.654902,0.6784314
0.6627451,0.6627451,0.654902,0.67058825
0.65882355,0.65882355,0.65882355,0.6666667
0.6627451,0.65882355,0.6627451,0.6666667
0.6627451,0.654902,0.6627451,0.67058825
0.6666667,0.65882355,0.6627451,0.6745098
0.6666667,0.6627451,0.654902,0.6745098
0.6627451,0.6666667,0.654902,0.67058825
0.65882355,0.6666667,0.6509804,0.6666667
0.6509804,0.6666667,0.65882355,0.6666667
0.6509804,0.6627451,0.6627451,0.6745098
0.654902,0.654902,0.65882355,0.6745098
0.65882355,0.654902,0.654902,0.6784314
0.6627451,0.654902,0.6509804,0.6745098
0.6627451,0.65882355,0.6509804,0.6745098
0.65882355,0.65882355,0.64705884,0.6666667
0.65882355,0.654902,0.654902,0.6666667
0.6627451,0.654902,0.654902,0.6627451
0.6627451,0.6509804,0.654902,0.6666667
0.6666667,0.654902,0.6509804,0.67058825
0.6666667,0.65882355,0.64705884,0.6666667
0.6666667,0.6627451,0.64705884,0.6627451
0.6627451,0.6627451,0.6509804,0.65882355
0.6627451,0.6627451,0.6509804,0.65882355
0.6627451,0.6627451,0.654902,0.65882355
0.6627451,0.6627451,0.654902,0.6666667
0.6627451,0.6666667,0.654902,0.6666667
0.654902,0.6666667,0.654902,0.67058825
0.6509804,0.6666667,0.6509804,0.6627451
0.6509804,0.6627451,0.6509804,0.6627451
0.6509804,0.654902,0.6509804,0.65882355
0.654902,0.6509804,0.65882355,0.6627451
0.6627451,0.654902,0.65882355,0.6666667
0.6627451,0.65882355,0.654902,0.67058825
0.6627451,0.65882355,0.6509804,0.6666667
0.65882355,0.65882355,0.64705884,0.6627451
0.654902,0.654902,0.6509804,0.6627451
0.6627451,0.6509804,0.6509804,0.654902
0.6666667,0.6509804,0.654902,0.65882355
0.6745098,0.65882355,0.6627451,0.6666667
0.6745098,0.67058825,0.65882355,0.6666667
0.6627451,0.6745098,0.654902,0.67058825
0.654902,0.6745098,0.6431373,0.6627451
0.6509804,0.6627451,0.64705884,0.65882355
0.6509804,0.654902,0.6509804,0.654902
0.65882355,0.654902,0.654902,0.6509804
0.6627451,0.65882355,0.6627451,0.654902
0.6627451,0.6666667,0.65882355,0.6627451
0.654902,0.67058825,0.65882355,0.67058825
0.64705884,0.6666667,0.6509804,0.67058825
0.6431373,0.654902,0.6509804,0.6627451
0.6509804,0.6431373,0.64705884,0.654902
0.6627451,0.6431373,0.654902,0.654902
0.67058825,0.64705884,0.6627451,0.65882355
0.6745098,0.65882355,0.6627451,0.6627451
0.67058825,0.6666667,0.65882355,0.67058825
0.6627451,0.6666667,0.6509804,0.6666667
0.654902,0.6627451,0.6431373,0.6627451
0.65882355,0.65882355,0.64705884,0.65882355
0.6627451,0.654902,0.6509804,0.654902
0.67058825,0.65882355,0.654902,0.6509804
0.67058825,0.6666667,0.65882355,0.65882355
0.6666667,0.6745098,0.6627451,0.6627451
0.654902,0.6745098,0.65882355,0.6627451
0.6509804,0.67058825,0.6509804,0.65882355
0.64705884,0.6627451,0.6509804,0.654902
0.6509804,0.654902,0.654902,0.654902
0.654902,0.6509804,0.654902,0.6509804
0.65882355,0.654902,0.65882355,0.6509804
0.6627451,0.654902,0.6627451,0.654902
0.6627451,0.65882355,0.6666667,0.65882355
0.65882355,0.65882355,0.65882355,0.65882355
0.65882355,0.654902,0.65882355,0.6627451
0.65882355,0.654902,0.654902,0.65882355
0.65882355,0.6509804,0.654902,0.65882355
0.6666667,0.6509804,0.654902,0.6509804
0.67058825,0.654902,0.654902,0.6509804
0.67058825,0.6627451,0.65882355,0.654902
0.6666667,0.6666667,0.6627451,0.654902
